product,N2BvsE2B,visits,Category,Device,CTA,Date,Month,week_year,traffic,Product page
Mortgage simplifier,E2B,98,Mortgages,web,NA,2023-01-29,January,5_2023,NA,NA
Mortgage simplifier,E2B,100,Mortgages,web,NA,2023-02-05,February,6_2023,NA,NA
Mortgage simplifier,E2B,68,Mortgages,web,NA,2023-02-12,February,7_2023,NA,NA
Fixed rate,N2B,141,Mortgages,web,NA,2022-11-13,November,46_2022,NA,NA
Fixed rate,N2B,1533,Mortgages,web,NA,2022-11-20,November,47_2022,NA,NA
Fixed rate,N2B,1390,Mortgages,web,NA,2022-11-27,November,48_2022,NA,NA
Fixed rate,N2B,2570,Mortgages,web,NA,2022-12-04,December,49_2022,NA,NA
Fixed rate,N2B,1421,Mortgages,web,NA,2022-12-11,December,50_2022,NA,NA
Fixed rate,N2B,1106,Mortgages,web,NA,2022-12-18,December,51_2022,NA,NA
Fixed rate,N2B,833,Mortgages,web,NA,2022-12-25,December,52_2022,NA,NA
Fixed rate,N2B,1599,Mortgages,web,NA,2023-01-01,January,1_2023,NA,NA
Fixed rate,N2B,1804,Mortgages,web,NA,2023-01-08,January,2_2023,NA,NA
Fixed rate,N2B,1715,Mortgages,web,NA,2023-01-15,January,3_2023,NA,NA
Fixed rate,N2B,1544,Mortgages,web,NA,2023-01-22,January,4_2023,NA,NA
Fixed rate,N2B,2102,Mortgages,web,NA,2023-01-29,January,5_2023,NA,NA
Fixed rate,N2B,3105,Mortgages,web,NA,2023-02-05,February,6_2023,NA,NA
Fixed rate,N2B,1610,Mortgages,web,NA,2023-02-12,February,7_2023,NA,NA
Fixed rate,E2B,6,Mortgages,web,NA,2022-11-13,November,46_2022,NA,NA
Fixed rate,E2B,61,Mortgages,web,NA,2022-11-20,November,47_2022,NA,NA
Fixed rate,E2B,62,Mortgages,web,NA,2022-11-27,November,48_2022,NA,NA
Fixed rate,E2B,59,Mortgages,web,NA,2022-12-04,December,49_2022,NA,NA
Fixed rate,E2B,56,Mortgages,web,NA,2022-12-11,December,50_2022,NA,NA
Fixed rate,E2B,32,Mortgages,web,NA,2022-12-18,December,51_2022,NA,NA
Fixed rate,E2B,38,Mortgages,web,NA,2022-12-25,December,52_2022,NA,NA
Fixed rate,E2B,70,Mortgages,web,NA,2023-01-01,January,1_2023,NA,NA
Fixed rate,E2B,76,Mortgages,web,NA,2023-01-08,January,2_2023,NA,NA
Fixed rate,E2B,73,Mortgages,web,NA,2023-01-15,January,3_2023,NA,NA
Fixed rate,E2B,75,Mortgages,web,NA,2023-01-22,January,4_2023,NA,NA
Fixed rate,E2B,78,Mortgages,web,NA,2023-01-29,January,5_2023,NA,NA
Fixed rate,E2B,107,Mortgages,web,NA,2023-02-05,February,6_2023,NA,NA
Fixed rate,E2B,58,Mortgages,web,NA,2023-02-12,February,7_2023,NA,NA
Orange Advantage,E2B,62,Mortgages,Native_app,6,2022-11-13,November,46_2022,NA,NA
Orange Advantage,E2B,465,Mortgages,Native_app,40,2022-11-20,November,47_2022,NA,NA
Orange Advantage,E2B,550,Mortgages,Native_app,49,2022-11-27,November,48_2022,NA,NA
Orange Advantage,E2B,600,Mortgages,Native_app,58,2022-12-04,December,49_2022,NA,NA
Orange Advantage,E2B,475,Mortgages,Native_app,47,2022-12-11,December,50_2022,NA,NA
Orange Advantage,E2B,482,Mortgages,Native_app,49,2022-12-18,December,51_2022,NA,NA
Orange Advantage,E2B,502,Mortgages,Native_app,37,2022-12-25,December,52_2022,NA,NA
Orange Advantage,E2B,820,Mortgages,Native_app,68,2023-01-01,January,1_2023,NA,NA
Orange Advantage,E2B,837,Mortgages,Native_app,92,2023-01-08,January,2_2023,NA,NA
Orange Advantage,E2B,800,Mortgages,Native_app,74,2023-01-15,January,3_2023,NA,NA
Orange Advantage,E2B,756,Mortgages,Native_app,75,2023-01-22,January,4_2023,NA,NA
Orange Advantage,E2B,1010,Mortgages,Native_app,89,2023-01-29,January,5_2023,NA,NA
Orange Advantage,E2B,1041,Mortgages,Native_app,86,2023-02-05,February,6_2023,NA,NA
Orange Advantage,E2B,495,Mortgages,Native_app,37,2023-02-12,February,7_2023,NA,NA
