Last Touch Marketing Channel,Product page,Start application,Finish application,Category,con_1,con_2,Date,MonthvsWeek,Visitor or Client,target_con1,Sales
NA,694,0,0,Mortgages,0,NA,2022-05-01,Month,::unspecified::,5,NA
NA,2098,0,734,Mortgages,0,Inf,2022-05-01,Month,client,5,NA
NA,0,0,0,Mortgages,NA,NA,2022-05-01,Month,None,5,NA
NA,30366,882,268,Mortgages,2.904564315352697,30.385487528344672,2022-05-01,Month,visitor,5,NA
NA,725,0,0,Mortgages,0,NA,2022-06-01,Month,::unspecified::,5,NA
NA,1943,0,693,Mortgages,0,Inf,2022-06-01,Month,client,5,NA
NA,0,0,0,Mortgages,NA,NA,2022-06-01,Month,None,5,NA
NA,28845,657,168,Mortgages,2.277691107644306,25.570776255707763,2022-06-01,Month,visitor,5,NA
NA,976,0,0,Mortgages,0,NA,2022-07-01,Month,::unspecified::,5,NA
NA,2392,0,962,Mortgages,0,Inf,2022-07-01,Month,client,5,NA
NA,0,0,0,Mortgages,NA,NA,2022-07-01,Month,None,5,NA
NA,32283,892,200,Mortgages,2.7630641514109593,22.421524663677133,2022-07-01,Month,visitor,5,NA
NA,1050,0,0,Mortgages,0,NA,2022-08-01,Month,::unspecified::,5,NA
NA,2539,0,1163,Mortgages,0,Inf,2022-08-01,Month,client,5,NA
NA,0,0,0,Mortgages,NA,NA,2022-08-01,Month,None,5,NA
NA,31168,981,289,Mortgages,3.147458932238193,29.45973496432212,2022-08-01,Month,visitor,5,NA
NA,745,0,0,Mortgages,0,NA,2022-09-01,Month,::unspecified::,5,NA
NA,2065,0,921,Mortgages,0,Inf,2022-09-01,Month,client,5,NA
NA,0,0,0,Mortgages,NA,NA,2022-09-01,Month,None,5,NA
NA,26952,849,232,Mortgages,3.150044523597507,27.326266195524145,2022-09-01,Month,visitor,5,NA
NA,814,0,0,Mortgages,0,NA,2022-10-01,Month,::unspecified::,5,NA
NA,2265,0,970,Mortgages,0,Inf,2022-10-01,Month,client,5,NA
NA,0,0,0,Mortgages,NA,NA,2022-10-01,Month,None,5,NA
NA,28638,863,233,Mortgages,3.013478594873944,26.998841251448436,2022-10-01,Month,visitor,5,NA
NA,561,0,0,Mortgages,0,NA,2022-11-01,Month,::unspecified::,5,NA
NA,2196,0,927,Mortgages,0,Inf,2022-11-01,Month,client,5,91
NA,0,0,0,Mortgages,NA,NA,2022-11-01,Month,None,5,NA
NA,25225,778,171,Mortgages,3.0842418235877105,21.979434447300772,2022-11-01,Month,visitor,5,7
NA,510,0,0,Mortgages,0,NA,2022-12-01,Month,::unspecified::,5,NA
NA,1681,1,725,Mortgages,0.0594883997620464,72500,2022-12-01,Month,client,5,204
NA,0,0,0,Mortgages,NA,NA,2022-12-01,Month,None,5,NA
NA,20504,822,207,Mortgages,4.0089738587592665,25.18248175182482,2022-12-01,Month,visitor,5,13
NA,831,0,0,Mortgages,0,NA,2023-01-01,Month,::unspecified::,5,NA
NA,2454,0,1003,Mortgages,0,Inf,2023-01-01,Month,client,5,170
NA,0,0,0,Mortgages,NA,NA,2023-01-01,Month,None,5,NA
NA,25987,843,281,Mortgages,3.24392965713626,33.33333333333333,2023-01-01,Month,visitor,5,11
NA,156,0,0,Mortgages,0,NA,2022-01-31,Week,::unspecified::,5,NA
NA,549,0,259,Mortgages,0,Inf,2022-01-31,Week,client,5,NA
NA,6607,235,85,Mortgages,3.5568336612683513,36.17021276595745,2022-01-31,Week,visitor,5,NA
NA,139,0,0,Mortgages,0,NA,2022-02-07,Week,::unspecified::,5,NA
NA,607,0,301,Mortgages,0,Inf,2022-02-07,Week,client,5,NA
NA,6706,328,89,Mortgages,4.891142260662094,27.134146341463417,2022-02-07,Week,visitor,5,NA
NA,176,0,0,Mortgages,0,NA,2022-02-14,Week,::unspecified::,5,NA
NA,586,0,262,Mortgages,0,Inf,2022-02-14,Week,client,5,NA
NA,6543,287,85,Mortgages,4.386367109888431,29.61672473867596,2022-02-14,Week,visitor,5,NA
NA,207,0,0,Mortgages,0,NA,2022-02-21,Week,::unspecified::,5,NA
NA,590,0,270,Mortgages,0,Inf,2022-02-21,Week,client,5,NA
NA,6222,243,83,Mortgages,3.90549662487946,34.15637860082305,2022-02-21,Week,visitor,5,NA
NA,197,0,0,Mortgages,0,NA,2022-02-28,Week,::unspecified::,5,NA
NA,559,0,270,Mortgages,0,Inf,2022-02-28,Week,client,5,NA
NA,5540,287,60,Mortgages,5.180505415162455,20.905923344947734,2022-02-28,Week,visitor,5,NA
NA,180,0,0,Mortgages,0,NA,2022-03-07,Week,::unspecified::,5,NA
NA,494,0,219,Mortgages,0,Inf,2022-03-07,Week,client,5,NA
NA,5281,572,62,Mortgages,10.831281954175346,10.839160839160838,2022-03-07,Week,visitor,5,NA
NA,197,0,0,Mortgages,0,NA,2022-03-14,Week,::unspecified::,5,NA
NA,652,0,311,Mortgages,0,Inf,2022-03-14,Week,client,5,NA
NA,6371,500,46,Mortgages,7.848061528802386,9.2,2022-03-14,Week,visitor,5,NA
NA,215,0,0,Mortgages,0,NA,2022-03-21,Week,::unspecified::,5,NA
NA,565,0,248,Mortgages,0,Inf,2022-03-21,Week,client,5,NA
NA,5786,309,73,Mortgages,5.3404770134808155,23.624595469255663,2022-03-21,Week,visitor,5,NA
NA,164,0,0,Mortgages,0,NA,2022-03-28,Week,::unspecified::,5,NA
NA,482,0,210,Mortgages,0,Inf,2022-03-28,Week,client,5,NA
NA,5869,192,67,Mortgages,3.2714261373317433,34.89583333333333,2022-03-28,Week,visitor,5,NA
NA,138,0,0,Mortgages,0,NA,2022-04-04,Week,::unspecified::,5,NA
NA,419,0,183,Mortgages,0,Inf,2022-04-04,Week,client,5,NA
NA,6340,172,46,Mortgages,2.7129337539432177,26.744186046511626,2022-04-04,Week,visitor,5,NA
NA,134,0,0,Mortgages,0,NA,2022-04-11,Week,::unspecified::,5,NA
NA,387,0,146,Mortgages,0,Inf,2022-04-11,Week,client,5,NA
NA,4838,185,56,Mortgages,3.8238941711451013,30.270270270270274,2022-04-11,Week,visitor,5,NA
NA,163,0,0,Mortgages,0,NA,2022-04-18,Week,::unspecified::,5,NA
NA,442,0,169,Mortgages,0,Inf,2022-04-18,Week,client,5,NA
NA,5129,178,68,Mortgages,3.4704620783778513,38.20224719101123,2022-04-18,Week,visitor,5,NA
NA,164,0,0,Mortgages,0,NA,2022-04-25,Week,::unspecified::,5,NA
NA,502,0,206,Mortgages,0,Inf,2022-04-25,Week,client,5,NA
NA,7389,214,66,Mortgages,2.896197049668426,30.8411214953271,2022-04-25,Week,visitor,5,NA
NA,198,0,0,Mortgages,0,NA,2022-05-02,Week,::unspecified::,5,NA
NA,613,0,165,Mortgages,0,Inf,2022-05-02,Week,client,5,NA
NA,11758,308,74,Mortgages,2.6194931110733117,24.025974025974026,2022-05-02,Week,visitor,5,NA
NA,148,0,0,Mortgages,0,NA,2022-05-09,Week,::unspecified::,5,NA
NA,460,0,136,Mortgages,0,Inf,2022-05-09,Week,client,5,NA
NA,5989,174,55,Mortgages,2.9053264317916176,31.60919540229885,2022-05-09,Week,visitor,5,NA
NA,137,0,0,Mortgages,0,NA,2022-05-16,Week,::unspecified::,5,NA
NA,414,0,165,Mortgages,0,Inf,2022-05-16,Week,client,5,NA
NA,5324,152,46,Mortgages,2.8549962434259957,30.263157894736842,2022-05-16,Week,visitor,5,NA
NA,130,0,0,Mortgages,0,NA,2022-05-23,Week,::unspecified::,5,NA
NA,398,0,163,Mortgages,0,Inf,2022-05-23,Week,client,5,NA
NA,0,0,0,Mortgages,NA,NA,2022-05-23,Week,None,5,NA
NA,4877,147,48,Mortgages,3.014148041828993,32.6530612244898,2022-05-23,Week,visitor,5,NA
NA,154,0,0,Mortgages,0,NA,2022-05-30,Week,::unspecified::,5,NA
NA,414,0,197,Mortgages,0,Inf,2022-05-30,Week,client,5,NA
NA,4834,173,55,Mortgages,3.5788167149358707,31.79190751445087,2022-05-30,Week,visitor,5,NA
NA,177,0,0,Mortgages,0,NA,2022-06-06,Week,::unspecified::,5,NA
NA,511,0,144,Mortgages,0,Inf,2022-06-06,Week,client,5,NA
NA,9610,189,46,Mortgages,1.9667013527575443,24.33862433862434,2022-06-06,Week,visitor,5,NA
NA,162,0,0,Mortgages,0,NA,2022-06-13,Week,::unspecified::,5,NA
NA,440,0,125,Mortgages,0,Inf,2022-06-13,Week,client,5,NA
NA,6294,112,35,Mortgages,1.7794725135049254,31.25,2022-06-13,Week,visitor,5,NA
NA,181,0,0,Mortgages,0,NA,2022-06-20,Week,::unspecified::,5,NA
NA,444,0,193,Mortgages,0,Inf,2022-06-20,Week,client,5,NA
NA,6045,163,34,Mortgages,2.696443341604632,20.858895705521473,2022-06-20,Week,visitor,5,NA
NA,192,0,0,Mortgages,0,NA,2022-06-27,Week,::unspecified::,5,NA
NA,487,0,197,Mortgages,0,Inf,2022-06-27,Week,client,5,NA
NA,6537,167,43,Mortgages,2.5546886951200856,25.748502994011975,2022-06-27,Week,visitor,5,NA
NA,214,0,0,Mortgages,0,NA,2022-07-04,Week,::unspecified::,5,NA
NA,585,0,213,Mortgages,0,Inf,2022-07-04,Week,client,5,NA
NA,9518,203,48,Mortgages,2.1328010086152553,23.645320197044335,2022-07-04,Week,visitor,5,NA
NA,160,0,0,Mortgages,0,NA,2022-07-11,Week,::unspecified::,5,NA
NA,434,0,172,Mortgages,0,Inf,2022-07-11,Week,client,5,NA
NA,6300,166,48,Mortgages,2.634920634920635,28.915662650602407,2022-07-11,Week,visitor,5,NA
NA,186,0,0,Mortgages,0,NA,2022-07-18,Week,::unspecified::,5,NA
NA,465,0,174,Mortgages,0,Inf,2022-07-18,Week,client,5,NA
NA,6444,208,44,Mortgages,3.2278088144009933,21.153846153846153,2022-07-18,Week,visitor,5,NA
NA,332,0,0,Mortgages,0,NA,2022-07-25,Week,::unspecified::,5,NA
NA,700,0,314,Mortgages,0,Inf,2022-07-25,Week,client,5,NA
NA,7213,246,47,Mortgages,3.4105088035491478,19.10569105691057,2022-07-25,Week,visitor,5,NA
NA,318,0,0,Mortgages,0,NA,2022-08-01,Week,::unspecified::,5,NA
NA,740,0,361,Mortgages,0,Inf,2022-08-01,Week,client,5,NA
NA,9652,318,82,Mortgages,3.294653957728968,25.78616352201258,2022-08-01,Week,visitor,5,NA
NA,191,0,0,Mortgages,0,NA,2022-08-08,Week,::unspecified::,5,NA
NA,515,0,221,Mortgages,0,Inf,2022-08-08,Week,client,5,NA
NA,6586,170,64,Mortgages,2.5812329183115703,37.64705882352941,2022-08-08,Week,visitor,5,NA
NA,183,0,0,Mortgages,0,NA,2022-08-15,Week,::unspecified::,5,NA
NA,465,0,207,Mortgages,0,Inf,2022-08-15,Week,client,5,NA
NA,5724,184,46,Mortgages,3.2145352900069883,25,2022-08-15,Week,visitor,5,NA
NA,247,0,0,Mortgages,0,NA,2022-08-22,Week,::unspecified::,5,NA
NA,551,0,267,Mortgages,0,Inf,2022-08-22,Week,client,5,NA
NA,6275,203,69,Mortgages,3.235059760956175,33.99014778325123,2022-08-22,Week,visitor,5,NA
NA,200,0,0,Mortgages,0,NA,2022-08-29,Week,::unspecified::,5,NA
NA,515,0,213,Mortgages,0,Inf,2022-08-29,Week,client,5,NA
NA,5706,224,61,Mortgages,3.9256922537679637,27.232142857142854,2022-08-29,Week,visitor,5,NA
NA,210,0,0,Mortgages,0,NA,2022-09-05,Week,::unspecified::,5,NA
NA,547,0,270,Mortgages,0,Inf,2022-09-05,Week,client,5,NA
NA,7247,219,57,Mortgages,3.021940113150269,26.027397260273972,2022-09-05,Week,visitor,5,NA
NA,164,0,0,Mortgages,0,NA,2022-09-12,Week,::unspecified::,5,NA
NA,446,0,191,Mortgages,0,Inf,2022-09-12,Week,client,5,NA
NA,6151,190,57,Mortgages,3.0889286294911398,30,2022-09-12,Week,visitor,5,NA
NA,155,0,0,Mortgages,0,NA,2022-09-19,Week,::unspecified::,5,NA
NA,455,0,202,Mortgages,0,Inf,2022-09-19,Week,client,5,NA
NA,5581,171,36,Mortgages,3.063967030998029,21.052631578947366,2022-09-19,Week,visitor,5,NA
NA,166,0,0,Mortgages,0,NA,2022-09-26,Week,::unspecified::,5,NA
NA,478,0,204,Mortgages,0,Inf,2022-09-26,Week,client,5,NA
NA,6466,192,66,Mortgages,2.9693782864212803,34.375,2022-09-26,Week,visitor,5,NA
NA,232,0,0,Mortgages,0,NA,2022-10-03,Week,::unspecified::,5,NA
NA,587,0,238,Mortgages,0,Inf,2022-10-03,Week,client,5,NA
NA,7844,224,58,Mortgages,2.855685874553799,25.892857142857146,2022-10-03,Week,visitor,5,NA
NA,162,0,0,Mortgages,0,NA,2022-10-10,Week,::unspecified::,5,NA
NA,483,0,199,Mortgages,0,Inf,2022-10-10,Week,client,5,NA
NA,6430,183,60,Mortgages,2.8460342146189737,32.78688524590164,2022-10-10,Week,visitor,5,NA
NA,184,0,0,Mortgages,0,NA,2022-10-17,Week,::unspecified::,5,NA
NA,517,0,247,Mortgages,0,Inf,2022-10-17,Week,client,5,NA
NA,6042,215,53,Mortgages,3.5584243627937764,24.651162790697676,2022-10-17,Week,visitor,5,NA
NA,167,0,0,Mortgages,0,NA,2022-10-24,Week,::unspecified::,5,NA
NA,492,0,200,Mortgages,0,Inf,2022-10-24,Week,client,5,NA
NA,6116,173,39,Mortgages,2.8286461739699154,22.54335260115607,2022-10-24,Week,visitor,5,NA
NA,179,0,0,Mortgages,0,NA,2022-10-31,Week,::unspecified::,5,NA
NA,579,0,246,Mortgages,0,Inf,2022-10-31,Week,client,5,NA
NA,0,0,0,Mortgages,NA,NA,2022-10-31,Week,None,5,NA
NA,7249,191,41,Mortgages,2.6348461856807837,21.465968586387437,2022-10-31,Week,visitor,5,NA
NA,138,0,0,Mortgages,0,NA,2022-11-07,Week,::unspecified::,5,NA
NA,455,0,203,Mortgages,0,Inf,2022-11-07,Week,client,5,NA
NA,5806,177,32,Mortgages,3.048570444367895,18.07909604519774,2022-11-07,Week,visitor,5,NA
NA,173,0,0,Mortgages,0,NA,2022-11-14,Week,::unspecified::,5,NA
NA,493,0,215,Mortgages,0,Inf,2022-11-14,Week,client,5,18
NA,0,0,0,Mortgages,NA,NA,2022-11-14,Week,None,5,NA
NA,5346,181,39,Mortgages,3.3857089412644967,21.54696132596685,2022-11-14,Week,visitor,5,2
NA,94,0,0,Mortgages,0,NA,2022-11-21,Week,::unspecified::,5,NA
NA,490,0,191,Mortgages,0,Inf,2022-11-21,Week,client,5,37
NA,5163,179,45,Mortgages,3.466976564013171,25.139664804469277,2022-11-21,Week,visitor,5,2
NA,13,0,0,Mortgages,0,NA,2022-11-28,Week,::unspecified::,5,NA
NA,462,0,207,Mortgages,0,Inf,2022-11-28,Week,client,5,58
NA,0,0,0,Mortgages,NA,NA,2022-11-28,Week,None,5,NA
NA,4886,166,39,Mortgages,3.3974621367171514,23.49397590361446,2022-11-28,Week,visitor,5,4
NA,183,0,0,Mortgages,0,NA,2022-12-05,Week,::unspecified::,5,NA
NA,528,0,228,Mortgages,0,Inf,2022-12-05,Week,client,5,50
NA,0,0,0,Mortgages,NA,NA,2022-12-05,Week,None,5,NA
NA,6906,272,57,Mortgages,3.9386041123660585,20.955882352941178,2022-12-05,Week,visitor,5,4
NA,128,0,0,Mortgages,0,NA,2022-12-12,Week,::unspecified::,5,NA
NA,380,0,150,Mortgages,0,Inf,2022-12-12,Week,client,5,66
NA,0,0,0,Mortgages,NA,NA,2022-12-12,Week,None,5,NA
NA,4705,186,55,Mortgages,3.953241232731137,29.56989247311828,2022-12-12,Week,visitor,5,4
NA,94,0,0,Mortgages,0,NA,2022-12-19,Week,::unspecified::,5,NA
NA,281,1,122,Mortgages,0.3558718861209964,12200,2022-12-19,Week,client,5,55
NA,0,0,0,Mortgages,NA,NA,2022-12-19,Week,None,5,NA
NA,3742,172,49,Mortgages,4.596472474612507,28.488372093023255,2022-12-19,Week,visitor,5,4
NA,96,0,0,Mortgages,0,NA,2022-12-26,Week,::unspecified::,5,NA
NA,287,0,124,Mortgages,0,Inf,2022-12-26,Week,client,5,11
NA,2857,103,27,Mortgages,3.605180259012951,26.21359223300971,2022-12-26,Week,visitor,5,NA
NA,10,0,0,Mortgages,0,NA,2022-12-26,Week,::unspecified::,5,NA
NA,37,0,13,Mortgages,0,Inf,2022-12-26,Week,client,5,11
NA,0,0,0,Mortgages,NA,NA,2022-12-26,Week,None,5,NA
NA,415,10,0,Mortgages,2.4096385542168677,0,2022-12-26,Week,visitor,5,NA
NA,196,0,0,Mortgages,0,NA,2023-01-02,Week,::unspecified::,5,NA
NA,518,0,208,Mortgages,0,Inf,2023-01-02,Week,client,5,23
NA,5391,206,74,Mortgages,3.8211834539046556,35.92233009708738,2023-01-02,Week,visitor,5,1
NA,209,0,0,Mortgages,0,NA,2023-01-09,Week,::unspecified::,5,NA
NA,594,0,229,Mortgages,0,Inf,2023-01-09,Week,client,5,33
NA,6290,220,65,Mortgages,3.4976152623211445,29.545454545454547,2023-01-09,Week,visitor,5,2
NA,176,0,0,Mortgages,0,NA,2023-01-16,Week,::unspecified::,5,NA
NA,566,0,235,Mortgages,0,Inf,2023-01-16,Week,client,5,55
NA,6166,173,57,Mortgages,2.8057087252675963,32.947976878612714,2023-01-16,Week,visitor,5,4
NA,164,0,0,Mortgages,0,NA,2023-01-23,Week,::unspecified::,5,NA
NA,499,0,221,Mortgages,0,Inf,2023-01-23,Week,client,5,40
NA,5415,158,65,Mortgages,2.9178208679593722,41.139240506329116,2023-01-23,Week,visitor,5,3
NA,76,0,0,Mortgages,0,NA,2023-01-30,Week,::unspecified::,5,NA
NA,240,0,97,Mortgages,0,Inf,2023-01-30,Week,client,5,42
NA,2310,76,20,Mortgages,3.29004329004329,26.31578947368421,2023-01-30,Week,visitor,5,2
NA,NA,NA,NA,Mortgages,NA,NA,2023-02-06,Week,client,NA,55
NA,NA,NA,NA,Mortgages,NA,NA,2023-02-06,Week,visitor,NA,8
NA,NA,NA,NA,Mortgages,NA,NA,2023-02-13,Week,client,NA,3
NA,NA,NA,NA,Mortgages,NA,NA,2023-02-01,Month,client,NA,81
NA,NA,NA,NA,Mortgages,NA,NA,2023-02-01,Month,visitor,NA,9
NA,NA,NA,NA,Mortgages,NA,NA,2022-11-14,Week,total,NA,20
NA,NA,NA,NA,Mortgages,NA,NA,2022-11-21,Week,total,NA,39
NA,NA,NA,NA,Mortgages,NA,NA,2022-11-28,Week,total,NA,62
NA,NA,NA,NA,Mortgages,NA,NA,2022-12-05,Week,total,NA,54
NA,NA,NA,NA,Mortgages,NA,NA,2022-12-12,Week,total,NA,70
NA,NA,NA,NA,Mortgages,NA,NA,2022-12-19,Week,total,NA,59
NA,NA,NA,NA,Mortgages,NA,NA,2022-12-26,Week,total,NA,11
NA,NA,NA,NA,Mortgages,NA,NA,2023-01-02,Week,total,NA,24
NA,NA,NA,NA,Mortgages,NA,NA,2023-01-09,Week,total,NA,35
NA,NA,NA,NA,Mortgages,NA,NA,2023-01-16,Week,total,NA,59
NA,NA,NA,NA,Mortgages,NA,NA,2023-01-23,Week,total,NA,43
NA,NA,NA,NA,Mortgages,NA,NA,2023-01-30,Week,total,NA,44
NA,NA,NA,NA,Mortgages,NA,NA,2023-02-06,Week,total,NA,63
NA,NA,NA,NA,Mortgages,NA,NA,2023-02-13,Week,total,NA,3
NA,NA,NA,NA,Mortgages,NA,NA,2022-11-01,Month,total,NA,98
NA,NA,NA,NA,Mortgages,NA,NA,2022-12-01,Month,total,NA,217
NA,NA,NA,NA,Mortgages,NA,NA,2023-01-01,Month,total,NA,181
NA,NA,NA,NA,Mortgages,NA,NA,2023-02-01,Month,total,NA,90
NA,30141,1128,1497,Mortgages,3.7424106698516972,132.7127659574468,2022-02-01,Month,total,5,NA
NA,29279,1768,1416,Mortgages,6.038457597595547,80.09049773755656,2022-03-01,Month,total,5,NA
NA,27440,783,983,Mortgages,2.8534985422740524,125.54278416347383,2022-04-01,Month,total,5,NA
NA,33158,882,1002,Mortgages,2.659991555582363,113.60544217687074,2022-05-01,Month,total,5,NA
NA,31513,657,861,Mortgages,2.0848538698314982,131.0502283105023,2022-06-01,Month,total,5,NA
NA,35651,892,1162,Mortgages,2.502033603545483,130.26905829596413,2022-07-01,Month,total,5,NA
NA,34757,981,1452,Mortgages,2.8224530310441063,148.01223241590213,2022-08-01,Month,total,5,NA
NA,29762,849,1153,Mortgages,2.8526308715812108,135.80683156654888,2022-09-01,Month,total,5,NA
NA,31717,863,1203,Mortgages,2.7209382980735883,139.39745075318658,2022-10-01,Month,total,5,NA
NA,27982,778,1098,Mortgages,2.780358802087056,141.13110539845758,2022-11-01,Month,total,5,NA
NA,22695,823,932,Mortgages,3.6263494161709624,113.24422843256379,2022-12-01,Month,total,5,NA
NA,29272,843,1284,Mortgages,2.8798852145394918,152.31316725978647,2023-01-01,Month,total,5,NA
NA,7312,235,344,Mortgages,3.213894967177243,146.38297872340425,2022-01-31,Week,total,5,NA
NA,7452,328,390,Mortgages,4.40150295222759,118.90243902439023,2022-02-07,Week,total,5,NA
NA,7305,287,347,Mortgages,3.9288158795345653,120.90592334494774,2022-02-14,Week,total,5,NA
NA,7019,243,353,Mortgages,3.462031628437099,145.26748971193416,2022-02-21,Week,total,5,NA
NA,6296,287,330,Mortgages,4.558449809402795,114.98257839721255,2022-02-28,Week,total,5,NA
NA,5955,572,281,Mortgages,9.605373635600335,49.12587412587413,2022-03-07,Week,total,5,NA
NA,7220,500,357,Mortgages,6.9252077562326875,71.39999999999999,2022-03-14,Week,total,5,NA
NA,6566,309,321,Mortgages,4.706061529089248,103.88349514563106,2022-03-21,Week,total,5,NA
NA,6515,192,277,Mortgages,2.9470452801227935,144.27083333333331,2022-03-28,Week,total,5,NA
NA,6897,172,229,Mortgages,2.493837900536465,133.13953488372093,2022-04-04,Week,total,5,NA
NA,5359,185,202,Mortgages,3.452136592647882,109.18918918918918,2022-04-11,Week,total,5,NA
NA,5734,178,237,Mortgages,3.104290198814091,133.14606741573033,2022-04-18,Week,total,5,NA
NA,8055,214,272,Mortgages,2.6567349472377404,127.10280373831775,2022-04-25,Week,total,5,NA
NA,12569,308,239,Mortgages,2.4504733869042883,77.59740259740259,2022-05-02,Week,total,5,NA
NA,6597,174,191,Mortgages,2.6375625284220097,109.77011494252874,2022-05-09,Week,total,5,NA
NA,5875,152,211,Mortgages,2.5872340425531917,138.8157894736842,2022-05-16,Week,total,5,NA
NA,5405,147,211,Mortgages,2.7197039777983347,143.5374149659864,2022-05-23,Week,total,5,NA
NA,5402,173,252,Mortgages,3.2025175860792303,145.66473988439304,2022-05-30,Week,total,5,NA
NA,10298,189,190,Mortgages,1.8353078267624783,100.52910052910053,2022-06-06,Week,total,5,NA
NA,6896,112,160,Mortgages,1.6241299303944314,142.85714285714286,2022-06-13,Week,total,5,NA
NA,6670,163,227,Mortgages,2.443778110944528,139.2638036809816,2022-06-20,Week,total,5,NA
NA,7216,167,240,Mortgages,2.3143015521064303,143.7125748502994,2022-06-27,Week,total,5,NA
NA,10317,203,261,Mortgages,1.9676262479402926,128.57142857142858,2022-07-04,Week,total,5,NA
NA,6894,166,220,Mortgages,2.4078909196402667,132.53012048192772,2022-07-11,Week,total,5,NA
NA,7095,208,218,Mortgages,2.9316420014094433,104.8076923076923,2022-07-18,Week,total,5,NA
NA,8245,246,361,Mortgages,2.9836264402668284,146.7479674796748,2022-07-25,Week,total,5,NA
NA,10710,318,443,Mortgages,2.9691876750700277,139.30817610062894,2022-08-01,Week,total,5,NA
NA,7292,170,285,Mortgages,2.3313219967087218,167.64705882352942,2022-08-08,Week,total,5,NA
NA,6372,184,253,Mortgages,2.8876333961079723,137.5,2022-08-15,Week,total,5,NA
NA,7073,203,336,Mortgages,2.8700692775342853,165.51724137931035,2022-08-22,Week,total,5,NA
NA,6421,224,274,Mortgages,3.4885531848621714,122.32142857142858,2022-08-29,Week,total,5,NA
NA,8004,219,327,Mortgages,2.7361319340329837,149.31506849315068,2022-09-05,Week,total,5,NA
NA,6761,190,248,Mortgages,2.8102351723117884,130.5263157894737,2022-09-12,Week,total,5,NA
NA,6191,171,238,Mortgages,2.762073978355678,139.1812865497076,2022-09-19,Week,total,5,NA
NA,7110,192,270,Mortgages,2.70042194092827,140.625,2022-09-26,Week,total,5,NA
NA,8663,224,296,Mortgages,2.585709338566317,132.14285714285714,2022-10-03,Week,total,5,NA
NA,7075,183,259,Mortgages,2.5865724381625443,141.53005464480876,2022-10-10,Week,total,5,NA
NA,6743,215,300,Mortgages,3.188491769242177,139.53488372093022,2022-10-17,Week,total,5,NA
NA,6775,173,239,Mortgages,2.5535055350553506,138.15028901734104,2022-10-24,Week,total,5,NA
NA,8007,191,287,Mortgages,2.3854127638316474,150.26178010471205,2022-10-31,Week,total,5,NA
NA,6399,177,235,Mortgages,2.766057196436943,132.7683615819209,2022-11-07,Week,total,5,NA
NA,6012,181,254,Mortgages,3.0106453759148373,140.3314917127072,2022-11-14,Week,total,5,NA
NA,5747,179,236,Mortgages,3.1146685227074995,131.84357541899442,2022-11-21,Week,total,5,NA
NA,5361,166,246,Mortgages,3.0964372318597277,148.19277108433735,2022-11-28,Week,total,5,NA
NA,7617,272,285,Mortgages,3.5709596954181437,104.77941176470588,2022-12-05,Week,total,5,NA
NA,5213,186,205,Mortgages,3.5680030692499516,110.21505376344085,2022-12-12,Week,total,5,NA
NA,4117,173,171,Mortgages,4.202088899684235,98.84393063583815,2022-12-19,Week,total,5,NA
NA,3240,103,151,Mortgages,3.1790123456790123,146.60194174757282,2022-12-26,Week,total,5,NA
NA,462,10,13,Mortgages,2.1645021645021645,130,2022-12-26,Week,total,5,NA
NA,6105,206,282,Mortgages,3.3742833742833747,136.89320388349515,2023-01-02,Week,total,5,NA
NA,7093,220,294,Mortgages,3.1016495136049627,133.63636363636365,2023-01-09,Week,total,5,NA
NA,6908,173,292,Mortgages,2.504342790966995,168.78612716763007,2023-01-16,Week,total,5,NA
NA,6078,158,286,Mortgages,2.599539322145443,181.0126582278481,2023-01-23,Week,total,5,NA
NA,2626,76,117,Mortgages,2.8941355674028943,153.94736842105263,2023-01-30,Week,total,5,NA
