month,week_nr,year,week,Product page,Start application,Finish application,Category,con_1,con_2,target_PP,target_SF,target_FF,Date,MonthvsWeek,Visitor or Client
February,05,2022,5,7312,235,344,Mortgages,3,146,8993.76,401.84999999999997,588.24,2022-01-29,Week,total
February,06,2022,6,7452,328,390,Mortgages,4,119,9165.96,560.88,666.9,2022-02-05,Week,total
February,07,2022,7,7305,287,347,Mortgages,4,121,8985.15,490.77,593.37,2022-02-12,Week,total
February,08,2022,8,7019,243,353,Mortgages,3,145,8633.369999999999,415.53,603.63,2022-02-19,Week,total
February,09,2022,9,1050,35,63,Mortgages,3,180,1291.5,59.85,107.73,2022-02-26,Week,total
March,09,2022,9,5246,252,267,Mortgages,5,106,6452.58,430.92,456.57,2022-02-26,Week,total
March,10,2022,10,5955,572,281,Mortgages,10,49,7324.65,978.12,480.51,2022-03-05,Week,total
March,11,2022,11,7220,500,357,Mortgages,7.000000000000001,71,8880.6,855,610.47,2022-03-12,Week,total
March,12,2022,12,6566,309,321,Mortgages,5,104,8076.18,528.39,548.91,2022-03-19,Week,total
April,13,2022,13,2226,57,87,Mortgages,3,153,2737.98,97.47,148.77,2022-03-26,Week,total
March,13,2022,13,4289,135,190,Mortgages,3,141,5275.47,230.85,324.9,2022-03-26,Week,total
April,14,2022,14,6897,172,229,Mortgages,2,133,8483.31,294.12,391.59,2022-04-02,Week,total
April,15,2022,15,5359,185,202,Mortgages,3,109.00000000000001,6591.57,316.34999999999997,345.42,2022-04-09,Week,total
April,16,2022,16,5734,178,237,Mortgages,3,133,7052.82,304.38,405.27,2022-04-16,Week,total
April,17,2022,17,7222,191,228,Mortgages,3,119,8883.06,326.61,389.88,2022-04-23,Week,total
May,17,2022,17,833,23,44,Mortgages,3,191,1024.59,39.33,75.24,2022-04-23,Week,total
May,18,2022,18,12569,308,239,Mortgages,2,78,15459.869999999999,526.68,408.69,2022-04-30,Week,total
May,19,2022,19,6597,174,191,Mortgages,3,110.00000000000001,8114.3099999999995,297.54,326.61,2022-05-07,Week,total
May,20,2022,20,5875,152,211,Mortgages,3,139,7226.25,259.92,360.81,2022-05-14,Week,total
May,21,2022,21,5405,147,211,Mortgages,3,144,6648.15,251.37,360.81,2022-05-21,Week,total
June,22,2022,22,3527,95,146,Mortgages,3,154,4338.21,162.45,249.66,2022-05-28,Week,total
