Last Touch Marketing Channel,Product page,Start application,Finish application,Category,con_1,con_2,Date,MonthvsWeek,Visitor or Client
Affiliate,1498,4,0,Mortgages,0.26702269692923897,0,2022-10-10,Week,total
Direct,788114,283,133,Mortgages,0.03590851069769094,46.996466431095406,2022-10-10,Week,total
Display,176,0,0,Mortgages,0,NA,2022-10-10,Week,total
Email,3177,3,1,Mortgages,0.09442870632672333,33.33333333333333,2022-10-10,Week,total
Mobile App,0,0,0,Mortgages,NA,NA,2022-10-10,Week,total
Natural Search,217002,202,88,Mortgages,0.09308669966175426,43.56435643564357,2022-10-10,Week,total
Paid Search,17829,72,33,Mortgages,0.40383644623927306,45.83333333333333,2022-10-10,Week,total
Referring Domains,13332,6,2,Mortgages,0.045004500450045004,33.33333333333333,2022-10-10,Week,total
Social Networks,2495,1,0,Mortgages,0.04008016032064128,0,2022-10-10,Week,total
::unspecified::,907,0,0,Mortgages,0,NA,2022-10-17,Week,total
Affiliate,253,7,4,Mortgages,2.766798418972332,57.14285714285714,2022-10-17,Week,total
Direct,762020,285,147,Mortgages,0.037400593160284504,51.578947368421055,2022-10-17,Week,total
Display,12,0,0,Mortgages,0,NA,2022-10-17,Week,total
Email,5305,0,0,Mortgages,0,NA,2022-10-17,Week,total
Mobile App,0,0,0,Mortgages,NA,NA,2022-10-17,Week,total
Natural Search,203655,288,124,Mortgages,0.14141562937320468,43.05555555555556,2022-10-17,Week,total
Paid Search,18864,80,23,Mortgages,0.4240882103477523,28.749999999999996,2022-10-17,Week,total
Referring Domains,13334,11,2,Mortgages,0.08249587520623969,18.181818181818183,2022-10-17,Week,total
Social Networks,2382,0,0,Mortgages,0,NA,2022-10-17,Week,total
::unspecified::,710,0,0,Mortgages,0,NA,2022-10-24,Week,total
Affiliate,286,5,2,Mortgages,1.7482517482517483,40,2022-10-24,Week,total
Direct,740578,210,113,Mortgages,0.028356229863701052,53.80952380952381,2022-10-24,Week,total
Display,6,0,0,Mortgages,0,NA,2022-10-24,Week,total
Email,3376,1,0,Mortgages,0.02962085308056872,0,2022-10-24,Week,total
Mobile App,0,0,0,Mortgages,NA,NA,2022-10-24,Week,total
Natural Search,199884,247,106,Mortgages,0.12357167156951032,42.91497975708502,2022-10-24,Week,total
Paid Search,14073,64,13,Mortgages,0.454771548355006,20.3125,2022-10-24,Week,total
Referring Domains,12069,4,5,Mortgages,0.03314276244925014,125,2022-10-24,Week,total
Social Networks,2182,1,0,Mortgages,0.045829514207149404,0,2022-10-24,Week,total
::unspecified::,790,0,0,Mortgages,0,NA,2022-10-31,Week,total
Affiliate,171,10,3,Mortgages,5.847953216374268,30,2022-10-31,Week,total
Direct,769740,248,118,Mortgages,0.03221867123963936,47.58064516129033,2022-10-31,Week,total
Display,3,0,0,Mortgages,0,NA,2022-10-31,Week,total
Email,2028,1,0,Mortgages,0.04930966469428008,0,2022-10-31,Week,total
Mobile App,0,0,0,Mortgages,NA,NA,2022-10-31,Week,total
Natural Search,225611,324,145,Mortgages,0.1436100190150303,44.75308641975309,2022-10-31,Week,total
Paid Search,17279,66,20,Mortgages,0.38196654899010357,30.303030303030305,2022-10-31,Week,total
