;May/22;Jun/22;Jul/22;Aug/22;Sep/22;Oct/22;Nov/22;Dec/22;Jan/23;Feb/23;Mar/23;Apr/23;
ingdirect:home-loans:calculators:extra-loan-repayments%20with%20bluul;0;0;0;0;1;0;0;0;0;0;0;0;
ingdirect:home-loans:calculators:rental-yield-calculator:help and support:faq detail;0;0;0;0;1;0;0;0;0;0;0;0;
ingdirect:home-loans:calculators:offset).;0;0;0;0;1;0;0;0;0;0;0;0;
ingdirect:home-loans:calculators:rehome%20loat%20rates%20fixedments;0;0;0;0;1;0;0;0;0;0;0;0;
ingdirect:home-loans:calculators:SSTIEd.path;0;0;0;0;0;2;10;0;0;0;0;0;
ingdirect:home-loans:calculators:borrowing-power.old;0;0;0;0;0;1;4;2;1;1;0;2;
ingdirect:home-loans:calculators:repayments:home loans;0;0;0;0;0;1;0;1;0;0;0;1;
ingdirect:home-loans:calculators:rental-yield-calculatorface;0;0;0;0;0;1;0;0;0;0;1;0;
ingdirect:home-loans:calculators:repayments:extra-loan-repayments.html;0;0;0;0;0;1;0;0;0;0;0;0;
ingdirect:home-loans:calculators:extra-loan-repaymentssimple%20back%20of%20a%20head;0;0;0;0;0;1;0;0;0;0;0;0;
ingdirect:home-loans:calculators:%20repayments;0;0;0;0;0;1;0;0;0;0;0;0;
ingdirect::home-loans:calculators:borrowing-power.old;0;0;0;0;0;1;0;0;0;0;0;0;
ingdirect:home-loans:calculators:borrowing-power:javascript%3AopenJointInviteModal%28%29;0;0;0;0;0;1;0;0;0;0;0;0;
ingdirect:HOME-LOANS:CALCULATORS:REFINANCE.HTML;0;0;0;0;0;1;0;0;0;0;0;0;
ingdirect:home-loans:calculator:rental-yeild-calculator;0;0;0;0;0;1;0;0;0;0;0;0;
ingdirect:home-loans:calculator:extra-loan-repayments;0;0;0;0;0;0;1;0;0;0;0;0;
ingdirect:HOME-LOANS:CALCULATORS:EXTRA-LOAN-REPAYMENTS.HTML;0;0;0;0;0;1;0;0;0;0;0;0;
ingdirect:HOME-LOANS:CALCULATORS:BUYING-COST.HTML;0;0;0;0;0;1;0;0;0;0;0;0;
ingdirect:home-loans:calculators:borrowing-power:extra-loan-repayments.html;0;0;0;0;0;1;0;0;0;0;0;0;
ingdirect:home-loans:calculators:borrowing-power:help and support:activation;0;0;0;0;0;0;6;2;6;7;5;8;
ingdirect:home-loans:calculators:repayments:help and support:activation;0;0;0;0;0;0;4;7;11;15;12;15;
ingdirect:home-loans:calculators:extra-loan-repayments:help and support:activation;0;0;0;0;0;0;3;8;7;7;3;4;
ingdirect:home-loans:calculators:offset:help and support:activation;0;0;0;0;0;0;2;1;6;5;3;5;
ingdirect:home-loans:calculator:extra-loan-repayments;0;0;0;0;0;0;2;1;0;1;0;0;
ingdirect:home-loans:calculators:borrowing-power:contact-details-submitted;0;0;0;0;0;0;2;0;0;1;0;2;
ingdirect:home-loans:calculators:borrowing-power:contact-details;0;0;0;0;0;0;2;0;0;1;0;2;
ingdirect:home-loans:calculators:offset:help and support:faq detail;0;0;0;0;0;0;1;1;3;2;0;2;
ingdirect:home-loans:calculators:borrowing-power:business savings;0;0;0;0;0;0;1;1;0;0;0;0;
ingdirect:home-loans:calculator;0;0;0;0;0;0;1;1;0;0;0;0;
ingdirect:home-loans:calculators:borrowing-power:everyday banking;0;0;0;0;0;0;1;1;0;0;0;0;
ingdirect:home-loans:calculators:borrowing-power:personal savings;0;0;0;0;0;0;1;1;0;0;0;0;
ingdirect:home-loans:calculators:extra-loans-repayments;0;0;0;0;0;0;1;0;0;0;0;0;
ingdirect::xsstest.com:..%2f:home-loans:calculators:lump-sum;0;0;0;0;0;0;1;0;0;0;0;0;
ingdirect:home-loans:calculators:repayments%5C;0;0;0;0;0;0;1;0;0;0;0;0;
ingdirect::xsstest.com:..%2f:home-loans:calculators:stamp-duty;0;0;0;0;0;0;1;0;0;0;0;0;
ingdirect:home-loans:calculators:where-can-i-buy:help and support:activation;0;0;0;0;0;0;1;0;0;0;0;0;
ingdirect:home-loans:calculators:extr;0;0;0;0;0;0;1;0;0;0;0;0;
ingdirect::xsstest.com:home-loans:calculators:stamp-duty;0;0;0;0;0;0;1;0;0;0;0;0;
ingdirect::xsstest.com:..%2f:home-loans:calculators:split-loan;0;0;0;0;0;0;1;0;0;0;0;0;
ingdirect::xsstest.com:home-loans:calculators:offset;0;0;0;0;0;0;1;0;0;0;0;0;
ingdirect::xsstest.com:..%2f:home-loans:calculators:where-can-i-buy;0;0;0;0;0;0;1;0;0;0;0;0;
ingdirect::xsstest.com:home-loans:calculators:buying-cost;0;0;0;0;0;0;1;0;0;0;0;0;
ingdirect:home:home-loans:calculators:extra-loan-repayments;0;0;0;0;0;0;1;0;0;0;0;0;
ingdirect:home-loans:calculators:re[ayments;0;0;0;0;0;0;1;0;0;0;0;0;
ingdirect:home-loans:calculators:estra-loan-repayments;0;0;0;0;0;0;1;0;0;0;0;0;
ingdirect:home-loans:calculators:offsetsimply%20energy;0;0;0;0;0;0;1;0;0;0;0;0;
ingdirect::xsstest.com:..%2f:home-loans:calculators:offset;0;0;0;0;0;0;1;0;0;0;0;0;
ingdirect:home-loans:calculator:extra-loana-repayments;0;0;0;0;0;0;1;0;0;0;0;0;
ingdirect::xsstest.com:..%2f:home-loans:calculators:buying-cost;0;0;0;0;0;0;1;0;0;0;0;0;
ingdirect::xsstest.com:home-loans:calculators:lump-sum;0;0;0;0;0;0;1;0;0;0;0;0;
ingdirect:home-loans:calculators:rental-yield-ca;0;0;0;0;0;0;1;0;0;0;0;0;
