# Report suite: ING Direct Production Report Suite
"# Date: Jan 1, 2023 - Jan 31, 2023"
#=================================================================


##############################################
# CID tracking (top 25) (first touch attribution)
# You can filter by :
"# "
# ps = paid search
# app = mobile app product page (not UNICA banner)
# edm = edm
# aff = affiliate
##############################################
,HL app intro,HL app complete,Visits
Tracking Code,593,117,135769
ps:goo:gadw:ing-hl-HL-Brand:e:ing home loan,91,25,1197
ps:goo:gadw:ing-hl-Calc-Brand:p:ing home loan calculator,68,12,3497
ps:goo:gadw:ing-hl-HL-Brand:p:ing home loan,56,11,1375
edm:cem:ecgn:ing-hl-C000000932:A000166167:intro,51,3,546
ps:goo:gadw:ing-hl-Refi-Brand:p:ing refinance,42,10,473
ps:goo:gadw:ing-hl-Refi-Brand:p:ing refinance home loan,23,4,165
ps:goo:gadw:ing-hl-Calc-Brand:p:ing mortgage calculator,22,7,943
ps:goo:gadw:ing-hl-HL-Brand:e:ing direct home loan,22,4,265
ps:goo:gadw:ing-hl-Calc-Brand:e:ing borrowing power,20,5,904
app:product:apply:ing-hl-oa,17,10,38
edm:cem:ecgn:ing-hl-C000000932:A000166167:resources,15,2,238
ps:goo:gadw:ing-hl-HL-Brand:e:ing home loan pre approval,14,5,40
app:product:apply:ing-hl-ms,14,3,19
ps:goo:gadw:ing-hl-HL-Brand:e:ing home loan rate,10,0,343
edm:cem:ecgn:ing-hl-C000001113:A000180346:visithub,10,0,63
ps:goo:gadw:ing-hl-HL-Generic:p:home loan,8,1,330
edm:cem:ecgn:ing-hl-C000000932:A000166167:header,8,1,208
ps:goo:gadw:ing-hl-HL-Brand:p:ing direct home loan,7,1,125
ps:goo:gadw:ing-oe-BankAccount-Brand:e:ing bank,7,0,3286
ps:goo:gadw:ing-hl-Refi-Generic:p:refinance,6,1,38
ps:goo:gadw:ing-sm-Top-Brand:p:ing savings maximiser,6,0,7756
ps:goo:gadw:ing-oe-BankAccount-Brand:e:ing bank australia,5,1,929
off:guide:hom:upgraders,5,0,16
ps:goo:gadw:ing-oe-BankAccount-Brand:p:ing bank,4,1,3957
ps:goo:brn:brs,4,1,1831


##############################################
# PID tracking (top 25) (last touch attribution)
# You can filter by;
"# "
# vis = visitor site
# cli = client site
# app = mobile app (UNICA banners)
"# "
