Visitor or Client,Product page,Start application,Finish application,Category,con_1,con_2,target_con1,Date,MonthvsWeek,Sales
visitor,5581,163,36,Mortgages,2.9206235441677117,22.085889570552148,5,2022-09-19,Week,NA
::unspecified::,166,0,0,Mortgages,0,NA,5,2022-09-26,Week,NA
client,478,338,204,Mortgages,70.7112970711297,60.35502958579882,5,2022-09-26,Week,NA
visitor,6466,181,66,Mortgages,2.7992576554283946,36.46408839779006,5,2022-09-26,Week,NA
::unspecified::,232,0,0,Mortgages,0,NA,5,2022-10-03,Week,NA
client,587,446,238,Mortgages,75.97955706984668,53.36322869955157,5,2022-10-03,Week,NA
visitor,7844,210,58,Mortgages,2.6772055073941865,27.61904761904762,5,2022-10-03,Week,NA
::unspecified::,162,0,0,Mortgages,0,NA,5,2022-10-10,Week,NA
client,483,331,199,Mortgages,68.53002070393374,60.12084592145015,5,2022-10-10,Week,NA
visitor,6430,174,60,Mortgages,2.7060653188180406,34.48275862068966,5,2022-10-10,Week,NA
::unspecified::,184,0,0,Mortgages,0,NA,5,2022-10-17,Week,NA
client,517,373,247,Mortgages,72.14700193423597,66.21983914209115,5,2022-10-17,Week,NA
visitor,6042,202,53,Mortgages,3.3432638199271767,26.237623762376238,5,2022-10-17,Week,NA
::unspecified::,167,0,0,Mortgages,0,NA,5,2022-10-24,Week,NA
client,492,332,200,Mortgages,67.47967479674797,60.24096385542169,5,2022-10-24,Week,NA
visitor,6116,158,39,Mortgages,2.583387835186396,24.68354430379747,5,2022-10-24,Week,NA
::unspecified::,179,0,0,Mortgages,0,NA,5,2022-10-31,Week,NA
client,579,396,246,Mortgages,68.39378238341969,62.121212121212125,5,2022-10-31,Week,NA
None,0,0,0,Mortgages,NA,NA,5,2022-10-31,Week,NA
visitor,7249,181,41,Mortgages,2.4968961236032556,22.65193370165746,5,2022-10-31,Week,NA
::unspecified::,138,0,0,Mortgages,0,NA,5,2022-11-07,Week,NA
client,455,354,203,Mortgages,77.80219780219781,57.34463276836158,5,2022-11-07,Week,NA
visitor,5806,168,32,Mortgages,2.8935583878746125,19.047619047619047,5,2022-11-07,Week,NA
::unspecified::,173,0,0,Mortgages,0,NA,5,2022-11-14,Week,NA
client,493,366,215,Mortgages,74.2393509127789,58.7431693989071,5,2022-11-14,Week,18
None,0,0,0,Mortgages,NA,NA,5,2022-11-14,Week,NA
visitor,5346,168,39,Mortgages,3.1425364758698096,23.214285714285715,5,2022-11-14,Week,2
::unspecified::,94,0,0,Mortgages,0,NA,5,2022-11-21,Week,NA
client,490,367,191,Mortgages,74.89795918367346,52.043596730245234,5,2022-11-21,Week,37
visitor,5163,169,45,Mortgages,3.273290722448189,26.627218934911244,5,2022-11-21,Week,2
::unspecified::,13,0,0,Mortgages,0,NA,5,2022-11-28,Week,NA
client,462,337,207,Mortgages,72.94372294372295,61.42433234421365,5,2022-11-28,Week,58
None,0,0,0,Mortgages,NA,NA,5,2022-11-28,Week,NA
visitor,4886,156,39,Mortgages,3.1927957429390093,25,5,2022-11-28,Week,4
::unspecified::,183,0,0,Mortgages,0,NA,5,2022-12-05,Week,NA
client,528,390,228,Mortgages,73.86363636363636,58.46153846153847,5,2022-12-05,Week,50
None,0,0,0,Mortgages,NA,NA,5,2022-12-05,Week,NA
visitor,6906,252,57,Mortgages,3.6490008688097304,22.61904761904762,5,2022-12-05,Week,4
::unspecified::,128,0,0,Mortgages,0,NA,5,2022-12-12,Week,NA
client,380,282,150,Mortgages,74.21052631578947,53.191489361702125,5,2022-12-12,Week,66
None,0,0,0,Mortgages,NA,NA,5,2022-12-12,Week,NA
visitor,4705,180,55,Mortgages,3.825717321997875,30.555555555555557,5,2022-12-12,Week,4
::unspecified::,94,0,0,Mortgages,0,NA,5,2022-12-19,Week,NA
client,281,208,122,Mortgages,74.02135231316726,58.65384615384615,5,2022-12-19,Week,55
None,0,0,0,Mortgages,NA,NA,5,2022-12-19,Week,NA
visitor,3742,161,49,Mortgages,4.30251202565473,30.434782608695656,5,2022-12-19,Week,4
::unspecified::,96,0,0,Mortgages,0,NA,5,2022-12-26,Week,NA
client,287,195,124,Mortgages,67.94425087108013,63.589743589743584,5,2022-12-26,Week,11
visitor,2857,101,27,Mortgages,3.535176758837942,26.732673267326735,5,2022-12-26,Week,NA
::unspecified::,10,0,0,Mortgages,0,NA,5,2022-12-26,Week,NA
client,37,22,13,Mortgages,59.45945945945946,59.09090909090909,5,2022-12-26,Week,11
None,0,0,0,Mortgages,NA,NA,5,2022-12-26,Week,NA
visitor,415,9,0,Mortgages,2.1686746987951806,0,5,2022-12-26,Week,NA
::unspecified::,196,0,0,Mortgages,0,NA,5,2023-01-02,Week,NA
client,518,365,208,Mortgages,70.46332046332047,56.986301369863014,5,2023-01-02,Week,23
visitor,5391,195,74,Mortgages,3.6171396772398445,37.94871794871795,5,2023-01-02,Week,1
::unspecified::,209,0,0,Mortgages,0,NA,5,2023-01-09,Week,NA
client,594,424,229,Mortgages,71.38047138047138,54.009433962264154,5,2023-01-09,Week,33
visitor,6290,208,65,Mortgages,3.3068362480127185,31.25,5,2023-01-09,Week,2
::unspecified::,176,0,0,Mortgages,0,NA,5,2023-01-16,Week,NA
client,566,402,235,Mortgages,71.02473498233216,58.457711442786064,5,2023-01-16,Week,55
visitor,6166,163,57,Mortgages,2.6435290301654235,34.96932515337423,5,2023-01-16,Week,4
::unspecified::,164,0,0,Mortgages,0,NA,5,2023-01-23,Week,NA
client,499,380,221,Mortgages,76.15230460921843,58.15789473684211,5,2023-01-23,Week,40
visitor,5415,148,65,Mortgages,2.7331486611265006,43.91891891891892,5,2023-01-23,Week,3
::unspecified::,212,0,0,Mortgages,0,NA,5,2023-01-30,Week,NA
client,661,463,292,Mortgages,70.04538577912254,63.06695464362851,5,2023-01-30,Week,42
visitor,6860,210,70,Mortgages,3.061224489795918,33.33333333333333,5,2023-01-30,Week,2
::unspecified::,243,0,0,Mortgages,0,NA,5,2023-02-06,Week,NA
client,687,459,264,Mortgages,66.8122270742358,57.51633986928104,5,2023-02-06,Week,55
visitor,8845,220,83,Mortgages,2.4872809496890897,37.72727272727273,5,2023-02-06,Week,8
::unspecified::,213,0,0,Mortgages,0,NA,5,2023-02-13,Week,NA
client,618,398,236,Mortgages,64.40129449838187,59.2964824120603,5,2023-02-13,Week,3
visitor,7526,217,64,Mortgages,2.883337762423598,29.493087557603687,5,2023-02-13,Week,NA
::unspecified::,189,0,0,Mortgages,0,NA,5,2023-02-20,Week,NA
client,536,381,236,Mortgages,71.0820895522388,61.942257217847775,5,2023-02-20,Week,NA
visitor,7458,247,68,Mortgages,3.311879860552427,27.530364372469634,5,2023-02-20,Week,NA
::unspecified::,72,0,0,Mortgages,0,NA,5,2023-02-27,Week,NA
client,227,158,87,Mortgages,69.60352422907489,55.06329113924051,5,2023-02-27,Week,NA
visitor,2563,101,24,Mortgages,3.940694498634413,23.762376237623762,5,2023-02-27,Week,NA
total,5246,588,267,Mortgages,11.208539839878002,45.40816326530612,5,2022-02-28,Week,NA
total,5955,907,281,Mortgages,15.230898404701932,30.98125689084895,5,2022-03-07,Week,NA
total,7220,933,357,Mortgages,12.922437673130194,38.263665594855304,5,2022-03-14,Week,NA
total,6566,701,321,Mortgages,10.676210782820592,45.79172610556348,5,2022-03-21,Week,NA
total,6515,513,277,Mortgages,7.874136607828089,53.99610136452242,5,2022-03-28,Week,NA
total,6897,471,229,Mortgages,6.829056111352762,48.61995753715499,5,2022-04-04,Week,NA
